Онлайн-версия BlizzCon пройдёт c 19-го по 20 февраля 2021-го,https://stopgame.ru/newsdata/44891,21 сентября 2020г., 4
На этих выходных покажут Resident Evil Village и Devil May Cry 5 Special Edition. Вот точное время,https://stopgame.ru/newsdata/44890,21 сентября 2020г., 14
Джон Кармак не прочь снова поработать с Bethesda,https://stopgame.ru/newsdata/44889,21 сентября 2020г., 34
"Сэм рычит, камикадзе орёт — сюжетный трейлер Serious Sam 4",https://stopgame.ru/newsdata/44888,21 сентября 2020г., 21
«Великая сила пробудилась» — трейлер к релизу Crash Bandicoot 4: It's About Time,https://stopgame.ru/newsdata/44887,21 сентября 2020г., 4
Трейлер Project 17 — фанатского ремейка первой главы Half-Life 2 в VR,https://stopgame.ru/newsdata/44886,21 сентября 2020г., 6
Microsoft покупает родительскую компанию Bethesda со всеми студиями за 7.5 миллиарда долларов,,21 сентября 2020г., 351
СМИ: тираж более дешёвой PlayStation 5 без дисковода в несколько раз меньше тиража обычной модели,https://stopgame.ru/newsdata/44884,21 сентября 2020г., 22
Как старые игры будут улучшаться на Xbox Series S,https://stopgame.ru/newsdata/44883,21 сентября 2020г., 8
Фанатский ремастер Return to Castle Wolfenstein выйдет в Steam 15 октября,https://stopgame.ru/newsdata/44882,21 сентября 2020г., 13
Hades преодолела миллион копий,https://stopgame.ru/newsdata/44881,21 сентября 2020г., 10
Bury the Light — главная тема Вергилия из Devil May Cry 5 Special Edition,https://stopgame.ru/newsdata/44880,21 сентября 2020г., 16
Freedom Fighters снова в продаже на PC,https://stopgame.ru/newsdata/44879,21 сентября 2020г., 18
Кольцевая гонка по кейптаунскому стадиону в новом геймплейном ролике из DiRT 5,https://stopgame.ru/newsdata/44878,20 сентября 2020г., 7
Заключительная глава «Тёмного сердца Скайрима» в The Elder Scrolls Online стартует в ноябре,https://stopgame.ru/newsdata/44877,20 сентября 2020г., 3
В команду сценаристов The Witcher: Blood Origin входят авторы сериала «Сквозь снег» и фильма «Мэнди»,https://stopgame.ru/newsdata/44876,20 сентября 2020г., 26
"Похоже, PS5-версия Watch Dogs: Legion выйдет 24 ноября",https://stopgame.ru/newsdata/44875,19 сентября 2020г., 6
